,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
72,Guntakal TO Guntakal,Guntakal Rayadurgam Kalyandurg Anantapur Gooty -- Rayadurgam Kalyandurg Anantapur Gooty Guntakal,5,5,21,208.66998835841736,1,1,Andhra Pradesh,Andhra Pradesh,Guntakal Rayadurgam Kalyandurg Anantapur Gooty,FTL,Rayadurgam Kalyandurg Anantapur Gooty Guntakal
73,Rajamundry TO Razole,Rajamundry Amalapuram Draksharamam Palakollu Razole -- Palakollu Draksharamam Rajamundry Amalapuram Razole,5,5,17,93.98444699264294,1,1,Andhra Pradesh,Andhra Pradesh,Rajamundry Amalapuram Draksharamam Palakollu Razole,FTL,Palakollu Draksharamam Rajamundry Amalapuram Razole
74,Murshidabad TO Berhampore,Murshidabad Lalgola Ragunthgnj Jangipur Sagardighi -- Lalgola Ragunthgnj Jangipur Sagardighi Berhampore,5,5,13,88.1083838871451,1,1,West Bengal,West Bengal,Murshidabad Lalgola Ragunthgnj Jangipur Sagardighi,Carting,Lalgola Ragunthgnj Jangipur Sagardighi Berhampore
75,Gurgaon TO Loharu,Gurgaon Loharu ChrkhiDdri Jhajjar Bhiwani -- Jhajjar ChrkhiDdri Gurgaon Bhiwani Loharu,5,5,19,128.53477252541197,1,1,Haryana,Haryana,Gurgaon Loharu ChrkhiDdri Jhajjar Bhiwani,FTL,Jhajjar ChrkhiDdri Gurgaon Bhiwani Loharu
76,Jaipur TO Jaipur,Jaipur Ajmer Pali Jodhpur Piparcity nan -- Ajmer Pali Jodhpur Piparcity nan Jaipur,5,5,3,628.2459058114405,1,1,Rajasthan nan,Rajasthan nan,Jaipur Ajmer Pali Jodhpur Piparcity nan,FTL,Ajmer Pali Jodhpur Piparcity nan Jaipur
77,Unjha TO Mehsana,Unjha Patan Bhabhar Mehsana Radhanpur -- Patan Bhabhar Radhanpur Unjha Mehsana,5,5,13,89.50738389690557,1,1,Gujarat,Gujarat,Unjha Patan Bhabhar Mehsana Radhanpur,FTL,Patan Bhabhar Radhanpur Unjha Mehsana
78,Kendrpara TO Kendrpara,Kendrpara Cuttack Bhubaneshwar Tirtol Paradip -- Cuttack Bhubaneshwar Jagatsghpr Paradip Kendrpara,5,5,6,42.313967361298104,1,1,Orissa,Orissa,Kendrpara Cuttack Bhubaneshwar Tirtol Paradip,FTL,Cuttack Bhubaneshwar Jagatsghpr Paradip Kendrpara
79,Mehsana TO Mehsana,Mehsana Unjha Patan Bhabhar Radhanpur -- Unjha Patan Bhabhar Radhanpur Mehsana,5,5,6,111.80164238920243,1,1,Gujarat,Gujarat,Mehsana Unjha Patan Bhabhar Radhanpur,FTL,Unjha Patan Bhabhar Radhanpur Mehsana
80,Baharampur TO Baharampur,Baharampur Katwa Chapra Nakashipara Plassey -- Katwa Chapra Nakashipara Plassey Baharampur,5,5,8,139.6517773422324,1,1,West Bengal,West Bengal,Baharampur Katwa Chapra Nakashipara Plassey,Carting,Katwa Chapra Nakashipara Plassey Baharampur
81,Chimkurthy TO Ongole,Chimkurthy Markapur Vinukonda Ongole Addanki -- Markapur Vinukonda Addanki Chimkurthy Ongole,5,5,22,116.94312871292227,1,1,Andhra Pradesh,Andhra Pradesh,Chimkurthy Markapur Vinukonda Ongole Addanki,FTL,Markapur Vinukonda Addanki Chimkurthy Ongole
82,Srikakulam TO Palasa,Srikakulam Narasnpeta Tekkali Paralakhemundi Palasa -- Narasnpeta Tekkali Paralakhemundi Srikakulam Palasa,5,5,22,120.68073720894908,2,2,Andhra Pradesh Orissa,Andhra Pradesh Orissa,Srikakulam Narasnpeta Tekkali Paralakhemundi Palasa,FTL,Narasnpeta Tekkali Paralakhemundi Srikakulam Palasa
83,Sonipat TO Sonipat,Sonipat Kurukshetra Pehowa Kaithal Safidon -- Kurukshetra Pehowa Kaithal Assandh Sonipat,5,5,17,254.1563671984189,1,1,Haryana,Haryana,Sonipat Kurukshetra Pehowa Kaithal Safidon,FTL,Kurukshetra Pehowa Kaithal Assandh Sonipat
84,Warangal TO Warangal,Warangal Khanpur Mahbubabad Yellandu Rayaparthi -- Khanpur Mahbubabad Yellandu Rayaparthi Warangal,5,5,20,161.27928622337492,1,1,Telangana,Telangana,Warangal Khanpur Mahbubabad Yellandu Rayaparthi,FTL,Khanpur Mahbubabad Yellandu Rayaparthi Warangal
85,Nanded TO Pune,Nanded Loha Gangakher Parli Ambajogai -- Loha Gangakher Parli Ambajogai Pune,5,5,2,252.9498378271157,1,1,Maharashtra,Maharashtra,Nanded Loha Gangakher Parli Ambajogai,FTL,Loha Gangakher Parli Ambajogai Pune
86,Tirunelveli TO Tirunelveli,Tirunelveli Eral Tirchchndr Thisayanvilai Peikulam -- Eral Tirchchndr Thisayanvilai Peikulam Tirunelveli,5,5,17,129.9811359526947,1,1,Tamil Nadu,Tamil Nadu,Tirunelveli Eral Tirchchndr Thisayanvilai Peikulam,Carting,Eral Tirchchndr Thisayanvilai Peikulam Tirunelveli
87,Purnia TO Raniganj,Purnia Narpatganj Simrahi Araria Raniganj nan -- Araria Simrahi Purnia nan Raniganj,5,4,12,166.33059031209942,1,1,Bihar nan,Bihar nan,Purnia Narpatganj Simrahi Araria Raniganj nan,FTL,Araria Simrahi Purnia nan Raniganj
88,Berhampore TO Ghanashyampur,Berhampore Morgram Rampurhat Ghanashyampur Kandi -- Morgram Rampurhat Khargram Berhampore Ghanashyampur,5,5,13,98.85241855298582,1,1,West Bengal,West Bengal,Berhampore Morgram Rampurhat Ghanashyampur Kandi,Carting,Morgram Rampurhat Khargram Berhampore Ghanashyampur
89,Kollam TO Kollam,Kollam Kottarakkara Punalur Pthnmthitt Adoor -- Kottarakkara Punalur Pthnmthitt Adoor Kollam,5,5,22,87.94574711040437,1,1,Kerala,Kerala,Kollam Kottarakkara Punalur Pthnmthitt Adoor,Carting,Kottarakkara Punalur Pthnmthitt Adoor Kollam
90,Purnia TO Purnia,Purnia Supaul Saharsa Madhepura Triveninganj -- Supaul Saharsa Madhepura Triveninganj Purnia,5,5,22,196.71486336660575,1,1,Bihar,Bihar,Purnia Supaul Saharsa Madhepura Triveninganj,FTL,Supaul Saharsa Madhepura Triveninganj Purnia
91,Kurnool TO Dhone,Kurnool Nandyal Betamcherla Bngnpalle Dhone -- Nandyal Bngnpalle Kurnool Betamcherla Dhone,5,5,18,119.25327842259341,1,1,Andhra Pradesh,Andhra Pradesh,Kurnool Nandyal Betamcherla Bngnpalle Dhone,FTL,Nandyal Bngnpalle Kurnool Betamcherla Dhone
92,Hyderabad TO Shadnagar,Hyderabad Mahabubnagar Bijnapally Jadcherla Shadnagar -- Mahabubnagar Bijnapally Jadcherla Hyderabad Shadnagar,5,5,11,172.6253963341901,1,1,Telangana,Telangana,Hyderabad Mahabubnagar Bijnapally Jadcherla Shadnagar,FTL,Mahabubnagar Bijnapally Jadcherla Hyderabad Shadnagar
93,Tirpur TO Tirpur,Tirpur Dharapuram Kangayam Tirupur Avinashi -- Dharapuram Kangayam Tirupur Avinashi Tirpur,5,5,17,107.97124477880023,1,1,Tamil Nadu,Tamil Nadu,Tirpur Dharapuram Kangayam Tirupur Avinashi,Carting,Dharapuram Kangayam Tirupur Avinashi Tirpur
94,Pattukotai TO Pudukkotti,Pattukotai Peravurani Aranthangi Karaikudi Ponnamaravathi -- Peravurani Aranthangi Karaikudi Ponnamaravathi Pudukkotti,5,5,16,122.0898345186873,1,1,Tamil Nadu,Tamil Nadu,Pattukotai Peravurani Aranthangi Karaikudi Ponnamaravathi,FTL,Peravurani Aranthangi Karaikudi Ponnamaravathi Pudukkotti
95,Kolkata TO Asansol,Kolkata Bardhaman Rupnarayanpur Durgapur Asansol -- Bardhaman Durgapur Kolkata Rupnarayanpur Asansol,5,5,15,281.203394423708,1,1,West Bengal,West Bengal,Kolkata Bardhaman Rupnarayanpur Durgapur Asansol,FTL,Bardhaman Durgapur Kolkata Rupnarayanpur Asansol
96,Hyderabad TO Hyderabad,Hyderabad Kadthal Kalwakurthy Devarakonda Haliya -- Kadthal Kalwakurthy Devarakonda Haliya Hyderabad,5,5,18,198.78046089478036,1,1,Telangana,Telangana,Hyderabad Kadthal Kalwakurthy Devarakonda Haliya,FTL,Kadthal Kalwakurthy Devarakonda Haliya Hyderabad
97,Rudrapur TO Rudrapur,Rudrapur Nainital Ranikhet Almora Pithorgarh -- Nainital Ranikhet Almora Pithorgarh Rudrapur,5,5,17,165.51322902390973,1,1,Uttarakhand,Uttarakhand,Rudrapur Nainital Ranikhet Almora Pithorgarh,FTL,Nainital Ranikhet Almora Pithorgarh Rudrapur
98,Aurangabad TO Aurangabad,Aurangabad Beed Georai Shevgaon Paithan -- Beed Georai Shevgaon Paithan Aurangabad,5,5,9,215.07031334987607,1,1,Maharashtra,Maharashtra,Aurangabad Beed Georai Shevgaon Paithan,FTL,Beed Georai Shevgaon Paithan Aurangabad
99,Murshidabad TO Lalgola,Murshidabad Ragunthgnj Jangipur Sagardighi Lalgola -- Ragunthgnj Jangipur Sagardighi Baharampur Lalgola,5,5,8,73.77229193148486,1,1,West Bengal,West Bengal,Murshidabad Ragunthgnj Jangipur Sagardighi Lalgola,Carting,Ragunthgnj Jangipur Sagardighi Baharampur Lalgola
100,Malda TO Chanchal,Malda Manikchak Paranpur Samsi Chanchal -- Manikchak Paranpur Samsi Malda Chanchal,5,5,12,43.62883497051658,1,1,West Bengal,West Bengal,Malda Manikchak Paranpur Samsi Chanchal,Carting,Manikchak Paranpur Samsi Malda Chanchal
101,Masaurhi TO Rajgir,Masaurhi Jehanabad Rajgir BiharSarif Nawada -- Jehanabad BiharSarif Chandi Nawada Rajgir,5,5,13,116.6853666516851,1,1,Bihar,Bihar,Masaurhi Jehanabad Rajgir BiharSarif Nawada,FTL,Jehanabad BiharSarif Chandi Nawada Rajgir
102,Muzaffrpur TO Benipatti,Muzaffrpur Sitamari Benipatti Sheohar Pupri -- Sheohar Pupri Muzaffrpur Sitamari Benipatti,5,5,21,134.68993393024746,1,1,Bihar,Bihar,Muzaffrpur Sitamari Benipatti Sheohar Pupri,FTL,Sheohar Pupri Muzaffrpur Sitamari Benipatti
103,Vadakara TO Vadakara,Vadakara Kallachi Kuthuparamba Kozhikode Koyilandy -- Kallachi Kuthuparamba Kozhikode Koyilandy Vadakara,5,5,6,128.1358147378185,1,1,Kerala,Kerala,Vadakara Kallachi Kuthuparamba Kozhikode Koyilandy,Carting,Kallachi Kuthuparamba Kozhikode Koyilandy Vadakara
104,Duddhi TO Robertsganj,Duddhi Renukoot Anpara Singrauli Chopan -- Renukoot Anpara Singrauli Chopan Robertsganj,5,5,7,137.36339243600926,2,2,Uttar Pradesh Madhya Pradesh,Uttar Pradesh Madhya Pradesh,Duddhi Renukoot Anpara Singrauli Chopan,FTL,Renukoot Anpara Singrauli Chopan Robertsganj
105,Bhopal TO Shujalpur,Bhopal Narsinghgarh Pachore Shajapur Shujalpur -- Narsinghgarh Pachore Shajapur Bhopal Shujalpur,5,5,12,203.61713914985307,1,1,Madhya Pradesh,Madhya Pradesh,Bhopal Narsinghgarh Pachore Shajapur Shujalpur,FTL,Narsinghgarh Pachore Shajapur Bhopal Shujalpur
106,Coimbatore TO Coimbatore,Coimbatore Kotagiri Ooty Coonoor Gudalur -- Coonoor Ooty Gudalur Kotagiri Coimbatore,5,5,17,88.51009753679901,1,1,Tamil Nadu,Tamil Nadu,Coimbatore Kotagiri Ooty Coonoor Gudalur,Carting,Coonoor Ooty Gudalur Kotagiri Coimbatore
107,Srirangapatna TO Mysore,Srirangapatna Mandya Ramanagara Kanakapura Bengaluru -- Mandya Chanapatna Kanakapura Bengaluru Mysore,5,5,11,230.7515285714427,1,1,Karnataka,Karnataka,Srirangapatna Mandya Ramanagara Kanakapura Bengaluru,FTL,Mandya Chanapatna Kanakapura Bengaluru Mysore
108,Nanded TO Pune,Nanded Loha Gangakher Parli Ambajogai -- Loha Gangakher Parli Ambajogai Pune,5,5,14,324.90057438087814,1,1,Maharashtra,Maharashtra,Nanded Loha Gangakher Parli Ambajogai,FTL,Loha Gangakher Parli Ambajogai Pune
109,Ranaghat TO Ranaghat,Ranaghat Kolkata Manteswar Krishnanagar Badkulla -- Kolkata Manteswar Nabadwip Hanskhali Krishnanagar Ranaghat,5,6,5,115.77072730207792,1,1,West Bengal,West Bengal,Ranaghat Kolkata Manteswar Krishnanagar Badkulla,FTL,Kolkata Manteswar Nabadwip Hanskhali Krishnanagar Ranaghat
110,Guskhara TO Panagarh,Guskhara Panagarh Bolpur Nanoor Durgapur -- Bolpur Guskhara Nanoor Durgapur Panagarh,5,5,20,113.90525358422592,1,1,West Bengal,West Bengal,Guskhara Panagarh Bolpur Nanoor Durgapur,FTL,Bolpur Guskhara Nanoor Durgapur Panagarh
111,Humnabad TO Humnabad,Humnabad Bidar Narayankhed Zahirabad Gulbarga -- Bidar Narayankhed Zahirabad Hyderabad Humnabad,5,5,22,256.6077018386736,2,2,Karnataka Telangana,Karnataka Telangana,Humnabad Bidar Narayankhed Zahirabad Gulbarga,FTL,Bidar Narayankhed Zahirabad Hyderabad Humnabad
112,Theni TO Theni,Theni Cumbum Kattappana Usilampatti Madurai -- Cumbum Kattappana Madurai Theni,5,4,12,147.3364553616042,2,2,Tamil Nadu Kerala,Tamil Nadu Kerala,Theni Cumbum Kattappana Usilampatti Madurai,FTL,Cumbum Kattappana Madurai Theni
113,Narsinghpur TO Narsingpur,Narsinghpur Gadarwara Jabalpur Narsingpur Bareli -- Gadarwara Bareli Narsinghpur Bhopal Narsingpur,5,5,10,147.83484075947283,1,1,Madhya Pradesh,Madhya Pradesh,Narsinghpur Gadarwara Jabalpur Narsingpur Bareli,FTL,Gadarwara Bareli Narsinghpur Bhopal Narsingpur
114,Aluva TO Aluva,Aluva Arimbur Sankaramangalam Shoranur Pazhayannur -- Arimbur Sankaramangalam Shoranur Pazhayannur Aluva,5,5,2,172.22700138024305,1,1,Kerala,Kerala,Aluva Arimbur Sankaramangalam Shoranur Pazhayannur,Carting,Arimbur Sankaramangalam Shoranur Pazhayannur Aluva
115,Islampur TO Islampur,Islampur Karad Chiplun Khed Kolhapur -- Karad Chiplun Khed Kolhapur Islampur,5,5,17,156.0095041830127,1,1,Maharashtra,Maharashtra,Islampur Karad Chiplun Khed Kolhapur,FTL,Karad Chiplun Khed Kolhapur Islampur
116,Bhadrak TO Barbil,Bhadrak Kendujhar Karanjia Barbil Joda -- Joda Karanjia Bhadrak Kendujhar Barbil,5,5,19,230.36360282593728,1,1,Orissa,Orissa,Bhadrak Kendujhar Karanjia Barbil Joda,FTL,Joda Karanjia Bhadrak Kendujhar Barbil
117,Chandigarh TO Chandigarh,Chandigarh BilaspurHP SundarNgr Mandi Kullu -- BilaspurHP SundarNgr Mandi Kullu Chandigarh,5,5,17,193.80095065304133,2,2,Himachal Pradesh Punjab,Punjab Himachal Pradesh,Chandigarh BilaspurHP SundarNgr Mandi Kullu,FTL,BilaspurHP SundarNgr Mandi Kullu Chandigarh
118,Kottayam TO Haripad,Kottayam Haripad Alappuzha Tiruvalla Kozhenchery -- Tiruvalla Alappuzha Kottayam Kozhenchery Haripad,5,5,16,66.3903789814223,1,1,Kerala,Kerala,Kottayam Haripad Alappuzha Tiruvalla Kozhenchery,Carting,Tiruvalla Alappuzha Kottayam Kozhenchery Haripad
119,Delhi TO Delhi,Delhi Aligarh Mainpuri Shikohabad Firozabad -- Aligarh Mainpuri Shikohabad Firozabad Delhi,5,5,12,378.5707043480672,2,2,Uttar Pradesh Delhi,Delhi Uttar Pradesh,Delhi Aligarh Mainpuri Shikohabad Firozabad,FTL,Aligarh Mainpuri Shikohabad Firozabad Delhi
120,Jaipur TO Jaipur,Jaipur Ajmer Pali Jodhpur Piparcity nan -- Ajmer Pali Jodhpur Piparcity nan Jaipur,5,5,6,601.1983826170448,1,1,Rajasthan nan,Rajasthan nan,Jaipur Ajmer Pali Jodhpur Piparcity nan,FTL,Ajmer Pali Jodhpur Piparcity nan Jaipur
121,Jabalpur TO Jabalpur,Jabalpur Lakhnadon Seoni Chhindwara Mandla -- Lakhnadon Seoni Chhindwara Mandla Jabalpur,5,5,16,250.87513898165153,1,1,Madhya Pradesh,Madhya Pradesh,Jabalpur Lakhnadon Seoni Chhindwara Mandla,FTL,Lakhnadon Seoni Chhindwara Mandla Jabalpur
122,Nawalgarh TO Rajgarh,Nawalgarh Rajgarh Taranagar Sikar Pilani -- Pilani Taranagar Sikar Nawalgarh Rajgarh,5,5,19,112.8165938691241,1,1,Rajasthan,Rajasthan,Nawalgarh Rajgarh Taranagar Sikar Pilani,FTL,Pilani Taranagar Sikar Nawalgarh Rajgarh
123,Hubli TO Hubli,Hubli Ramdurg Bagalkot Rona Gadag -- Ramdurg Bagalkot Rona Gadag Hubli,5,5,20,237.8316811327773,1,1,Karnataka,Karnataka,Hubli Ramdurg Bagalkot Rona Gadag,FTL,Ramdurg Bagalkot Rona Gadag Hubli
124,Mangalore TO Kumta,Mangalore Kumta Ankola Uchila Honnavar -- Uchila Ankola Goa Kundapura Kumta,5,5,3,120.9903086835538,1,2,Karnataka Goa,Karnataka,Mangalore Kumta Ankola Uchila Honnavar,FTL,Uchila Ankola Goa Kundapura Kumta
125,Koraput TO Pappadahandi,"Koraput Jeypore Visakhapatnam Pappadahandi Nabarangpr -- Jeypore Nabarangpr Visakhapatnam Umerkote Koraput
 Pappadahandi",5,6,9,157.97437072179048,2,2,Orissa Andhra Pradesh,Orissa Andhra Pradesh,Koraput Jeypore Visakhapatnam Pappadahandi Nabarangpr,Carting,"Jeypore Nabarangpr Visakhapatnam Umerkote Koraput
 Pappadahandi"
126,Goa TO Goa,Goa Karwar Mallapur Dandeli Hubli -- Karwar Mallapur Dandeli Hubli Goa,5,5,15,296.68643171921013,2,2,Karnataka Goa,Goa Karnataka,Goa Karwar Mallapur Dandeli Hubli,FTL,Karwar Mallapur Dandeli Hubli Goa
127,Bangana TO Nadaun,Bangana Nadaun Chandigarh Hamirpur Sujanpur -- Bhota Chandigarh Bangana Sujanpur Nadaun,5,5,22,255.5225843096684,2,2,Himachal Pradesh Punjab,Himachal Pradesh Punjab,Bangana Nadaun Chandigarh Hamirpur Sujanpur,FTL,Bhota Chandigarh Bangana Sujanpur Nadaun
128,Mangalore TO Kadaba,Mangalore Bantwal Puttur Sullia Kadaba -- Bengaluru Bantwal Puttur Sullia Kadaba,5,5,10,240.50283672905908,1,1,Karnataka,Karnataka,Mangalore Bantwal Puttur Sullia Kadaba,FTL,Bengaluru Bantwal Puttur Sullia Kadaba
129,Sikar TO Buhana,"Sikar Jhunjhunu Khetri NeemKaThana Sultana -- Jhunjhunu Sultana NeemKaThana Shrimadhopur Khetri Khandela
 Buhana",5,7,10,68.51014412278363,1,1,Rajasthan,Rajasthan,Sikar Jhunjhunu Khetri NeemKaThana Sultana,FTL,"Jhunjhunu Sultana NeemKaThana Shrimadhopur Khetri Khandela
 Buhana"
130,Berhampore TO Berhampore,Berhampore Katwa Chapra Nakashipara Plassey -- Katwa Chapra Nakashipara Plassey Berhampore,5,5,13,173.5228046183736,1,1,West Bengal,West Bengal,Berhampore Katwa Chapra Nakashipara Plassey,Carting,Katwa Chapra Nakashipara Plassey Berhampore
131,AhmedNagar TO Ashti,AhmedNagar Parner Shirur Pune Ashti -- Parner Shirur Pune AhmedNagar Ashti,5,5,5,192.84449532459877,1,1,Maharashtra,Maharashtra,AhmedNagar Parner Shirur Pune Ashti,FTL,Parner Shirur Pune AhmedNagar Ashti
132,Sonipat TO Sonipat,Sonipat Roorkee Haridwar Rishikesh -- Roorkee Haridwar Rishikesh Sonipat,4,4,9,333.9209159604336,2,2,Uttarakhand Haryana,Haryana Uttarakhand,Sonipat Roorkee Haridwar Rishikesh,FTL,Roorkee Haridwar Rishikesh Sonipat
133,Chandausi TO Aonla,Chandausi Rampur Sambhal Aonla -- Rampur Sambhal Chandausi Aonla,4,4,17,116.45634642228552,1,1,Uttar Pradesh,Uttar Pradesh,Chandausi Rampur Sambhal Aonla,FTL,Rampur Sambhal Chandausi Aonla
134,Chhatarpur TO Panna,Chhatarpur Tikamgarh Satna Panna -- Tikamgarh Satna Chhatarpur Panna,4,4,19,292.0929347702137,1,1,Madhya Pradesh,Madhya Pradesh,Chhatarpur Tikamgarh Satna Panna,FTL,Tikamgarh Satna Chhatarpur Panna
135,Tirupati TO Tirupati,Tirupati Puttur Koduru Rajampet -- Puttur Koduru Rajampet Tirupati,4,4,19,177.32716662228032,1,1,Andhra Pradesh,Andhra Pradesh,Tirupati Puttur Koduru Rajampet,Carting,Puttur Koduru Rajampet Tirupati
136,Sonipat TO Sonipat,Sonipat Gajraula Rampur Amroha -- Gajraula Rampur Amroha Sonipat,4,4,13,361.39691780798927,2,2,Uttar Pradesh Haryana,Haryana Uttar Pradesh,Sonipat Gajraula Rampur Amroha,FTL,Gajraula Rampur Amroha Sonipat
137,Hisar TO Sirsa,Hisar Hanumangarh Sirsa Ganga -- Hanumangarh Ganga Hisar Sirsa,4,4,3,256.943198155528,2,2,Rajasthan Haryana,Haryana Rajasthan,Hisar Hanumangarh Sirsa Ganga,FTL,Hanumangarh Ganga Hisar Sirsa
138,Junagadh TO Jamjodhpur,Junagadh Porbandar Jamjodhpur Bhanvad -- Porbandar Bhanvad Junagadh Jamjodhpur,4,4,18,139.49277856027587,1,1,Gujarat,Gujarat,Junagadh Porbandar Jamjodhpur Bhanvad,Carting,Porbandar Bhanvad Junagadh Jamjodhpur
139,Koyilandy TO Koyilandy,Koyilandy Vadakara Kallachi Kozhikode -- Vadakara Kallachi Kuthuparamba Koyilandy,4,4,13,50.5026577983068,1,1,Kerala,Kerala,Koyilandy Vadakara Kallachi Kozhikode,Carting,Vadakara Kallachi Kuthuparamba Koyilandy
140,Nawanshahr TO Nawanshahr,Nawanshahr Machhiwara Ludhiana Garhshnker -- Machhiwara Ludhiana Nawanshahr,4,3,15,67.94599295693298,1,1,Punjab,Punjab,Nawanshahr Machhiwara Ludhiana Garhshnker,FTL,Machhiwara Ludhiana Nawanshahr
141,Hyderabad TO Hyderabad,Hyderabad Rajamundry Vizag Visakhapatnam -- Rajamundry Visakhapatnam Hyderabad,4,3,5,769.606579736521,2,2,Andhra Pradesh Telangana,Telangana Andhra Pradesh,Hyderabad Rajamundry Vizag Visakhapatnam,FTL,Rajamundry Visakhapatnam Hyderabad
142,Hyderabad TO Hyderabad,Hyderabad Rajamundry Vizag Visakhapatnam -- Rajamundry Visakhapatnam Hyderabad,4,3,6,945.6987513243115,2,2,Andhra Pradesh Telangana,Telangana Andhra Pradesh,Hyderabad Rajamundry Vizag Visakhapatnam,FTL,Rajamundry Visakhapatnam Hyderabad
143,Sambalpur TO Sambalpur,Sambalpur Bargarh Balangir Sonepur -- Bargarh Balangir Sonepur Sambalpur,4,4,4,135.75100795302322,1,1,Orissa,Orissa,Sambalpur Bargarh Balangir Sonepur,FTL,Bargarh Balangir Sonepur Sambalpur
144,Hyderabad TO Hyderabad,Hyderabad Warangal Ghanpur Jangaon -- Warangal Ghanpur Jangaon Hyderabad,4,4,18,266.37117250543355,1,1,Telangana,Telangana,Hyderabad Warangal Ghanpur Jangaon,FTL,Warangal Ghanpur Jangaon Hyderabad
145,Muzaffrngr TO Muzaffrngr,Muzaffrngr Deoband Dehradun Sonipat -- Deoband Dehradun Sonipat Muzaffrngr,4,4,17,261.64827391720246,3,3,Uttar Pradesh Uttarakhand Haryana,Uttar Pradesh Uttarakhand Haryana,Muzaffrngr Deoband Dehradun Sonipat,FTL,Deoband Dehradun Sonipat Muzaffrngr
146,Sonipat TO Sonipat,Sonipat Roorkee Haridwar Rishikesh -- Roorkee Haridwar Rishikesh Sonipat,4,4,2,349.65759874214393,2,2,Uttarakhand Haryana,Haryana Uttarakhand,Sonipat Roorkee Haridwar Rishikesh,FTL,Roorkee Haridwar Rishikesh Sonipat
147,Sonipat TO Sonipat,Sonipat Gajraula Rampur Amroha -- Gajraula Rampur Amroha Sonipat,4,4,2,371.0167076457483,2,2,Uttar Pradesh Haryana,Haryana Uttar Pradesh,Sonipat Gajraula Rampur Amroha,FTL,Gajraula Rampur Amroha Sonipat
148,Bengaluru TO Bengaluru,Bengaluru Bellary Molakalmuru Challakere -- Bellary Molakalmuru Challakere Bengaluru,4,4,10,493.6357851163244,1,1,Karnataka,Karnataka,Bengaluru Bellary Molakalmuru Challakere,FTL,Bellary Molakalmuru Challakere Bengaluru
149,Chandigarh TO Chandigarh,Chandigarh YamunaNagar PaontSahib Ambala -- YamunaNagar PaontSahib Chandigarh,4,3,13,140.8541257953519,3,3,Haryana Himachal Pradesh Punjab,Punjab Haryana Himachal Pradesh,Chandigarh YamunaNagar PaontSahib Ambala,FTL,YamunaNagar PaontSahib Chandigarh
150,Sonipat TO Sonipat,Sonipat Roorkee Haridwar Rishikesh -- Roorkee Haridwar Rishikesh Sonipat,4,4,3,345.2750343686437,2,2,Uttarakhand Haryana,Haryana Uttarakhand,Sonipat Roorkee Haridwar Rishikesh,FTL,Roorkee Haridwar Rishikesh Sonipat
151,Aluva TO Bengaluru,Aluva Thrissur Vadakkencherry Pallakad -- Thrissur Vadakkencherry Pallakad Bengaluru,4,4,10,318.03626141143155,1,2,Kerala Karnataka,Kerala,Aluva Thrissur Vadakkencherry Pallakad,FTL,Thrissur Vadakkencherry Pallakad Bengaluru
152,Dindigul TO Palani,Dindigul Palani Gujiliam Oddnchtram -- Gujiliam Dindigul Oddnchtram Palani,4,4,2,122.1951615472243,1,1,Tamil Nadu,Tamil Nadu,Dindigul Palani Gujiliam Oddnchtram,FTL,Gujiliam Dindigul Oddnchtram Palani
153,Jassur TO Jassur,Jassur Dalhousie Chamba Pathankot -- Dalhousie Chamba Pathankot Jassur,4,4,15,85.49968778191774,2,2,Himachal Pradesh Punjab,Himachal Pradesh Punjab,Jassur Dalhousie Chamba Pathankot,FTL,Dalhousie Chamba Pathankot Jassur
154,Kanpur TO Kanpur,Kanpur Fatehpur Banda Mahoba -- Fatehpur Banda Mahoba Kanpur,4,4,16,260.0978511434552,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur Fatehpur Banda Mahoba,FTL,Fatehpur Banda Mahoba Kanpur
155,Jalgaon TO Jalgaon,Jalgaon Bhusawal Raver Burhanpur -- Bhusawal Raver Burhanpur Jalgaon,4,4,16,117.63668966319315,2,2,Maharashtra Madhya Pradesh,Maharashtra Madhya Pradesh,Jalgaon Bhusawal Raver Burhanpur,Carting,Bhusawal Raver Burhanpur Jalgaon
156,Aluva TO Bengaluru,Aluva Thrissur Vadakkencherry Pallakad -- Thrissur Vadakkencherry Pallakad Bengaluru,4,4,4,363.93074958164686,1,2,Kerala Karnataka,Kerala,Aluva Thrissur Vadakkencherry Pallakad,FTL,Thrissur Vadakkencherry Pallakad Bengaluru
157,Bhatinda TO Jhunir,Bhatinda TalwandiSabo Jhunir Mansa -- TalwandiSabo Mansa Bhatinda Jhunir,4,4,21,101.92531026260724,1,1,Punjab,Punjab,Bhatinda TalwandiSabo Jhunir Mansa,FTL,TalwandiSabo Mansa Bhatinda Jhunir
158,Neemuch TO Neemuch,Neemuch BariSadri Chittaurgarh Nimbahera -- BariSadri Chittaurgarh Nimbahera Neemuch,4,4,12,90.47689462587921,2,2,Rajasthan Madhya Pradesh,Madhya Pradesh Rajasthan,Neemuch BariSadri Chittaurgarh Nimbahera,FTL,BariSadri Chittaurgarh Nimbahera Neemuch
